N,Repetition,Rate_TUM,Rate_Random,Rate_EPA
10,355,1.091753994311642,0.7214419248029335,0.8663174631504773
10,356,0.5591184273354755,0.22069992690231122,0.473637599166816
10,357,2.561752184760496,0.8278443331441927,1.9820552352814738
10,358,1.5171109487386119,0.549051293864926,1.1608286613346694
10,359,0.7358785435514694,0.3091767935318234,0.6765175447353173
10,360,2.6181111437095463,2.354943151879368,1.823898323792064
10,361,0.8261121910653526,0.21477426811369976,0.7470064256547616
10,362,2.88771905139253,1.978613029176961,2.2363350274422436
10,363,7.242401962994978,0.5835838050458217,6.2428427043959385
10,364,0.3621476115291481,0.2128065532761418,0.36207234863514715
10,365,4.591204624120956,1.8862614776578976,3.8880514305360983
10,366,11.944388945300492,1.6993042467231498,11.864459525520243
10,367,0.8908069524894213,0.45166868794299353,0.7600846769307419
10,368,7.309701943262539,2.9794084723033425,6.440600681685601
10,369,14.367298357447934,7.1638757829169935,14.132512954676699
10,370,0.7218610927429072,0.3962474227565013,0.6946155007560915
10,371,3.7229156927847917,0.5753890468361842,2.7821623561943944
10,372,1.7937772010189934,1.387120493398134,1.6828041665028735
10,373,1.11403911900763,0.8388570499769161,0.9175713787384245
10,374,2.238252517381426,1.652245114802348,1.8023384407373966
10,375,0.9587700330811639,0.3324886996940276,0.805072578657241
10,376,14.355304353464565,7.028372075821729,13.831833342645465
10,377,1.110392135315813,0.8551020810055209,0.8549771972188981
10,378,2.8114245963313023,2.31642922284461,2.064458319221317
10,379,5.213919780947946,1.7345369353544315,3.844884695619905
10,380,0.5816971473814139,0.39925324998317985,0.5086441103368062
10,381,4.10735399862303,0.3917891099925134,3.281646199538607
10,382,1.1028671388294082,0.8078012384391626,0.8733405664140593
10,383,7.61297586160722,3.9510173793409082,6.90933057124466
10,384,3.9038847348578543,2.795965424603261,3.3901799249561915
10,385,3.855083647586801,2.7758938114204272,3.411061885464279
10,386,0.6145538532640926,0.13410971852540737,0.5658496852191822
10,387,2.8172189042891604,1.9074815343396614,2.537437475611457
